date,sales,region,state,category,type,caffeination
1/1/10,134,West,CA,Tea,Earl Grey,Regular
1/1/10,180,West,CA,Tea,Green Tea,Regular
1/1/10,145,West,CA,Coffee,Amaretto,Regular
1/1/10,678,West,CA,Coffee,Columbian,Regular
1/1/10,118,West,CA,Coffee,Decaf Irish Cream,Decaf
1/1/10,43,West,NV,Espresso,Caffe Latte,Regular
1/1/10,45,West,NV,Espresso,Caffe Mocha,Regular
1/1/10,43,West,NV,Espresso,Decaf Espresso,Decaf
1/1/10,62,West,NV,Coffee,Decaf Irish Cream,Decaf
1/1/10,250,West,NV,Herbal Tea,Chamomile,Decaf
1/1/10,345,West,NV,Herbal Tea,Lemon,Decaf
1/1/10,234,West,NV,Herbal Tea,Mint,Decaf
1/1/10,546,West,NV,Tea,Darjeeling,Regular
1/1/10,456,West,NV,Tea,Earl Grey,Regular
1/1/10,17,West,NV,Tea,Green Tea,Regular
1/1/10,76,West,NV,Coffee,Columbian,Regular
1/1/10,130,West,OR,Espresso,Caffe Latte,Regular
1/1/10,140,West,OR,Espresso,Caffe Mocha,Regular
1/1/10,341,West,OR,Espresso,Decaf Espresso,Decaf
1/1/10,140,West,OR,Coffee,Decaf Irish Cream,Decaf
1/1/10,90,West,OR,Herbal Tea,Chamomile,Decaf
1/1/10,100,West,OR,Herbal Tea,Lemon,Decaf
1/1/10,80,West,OR,Tea,Darjeeling,Regular
1/1/10,210,West,OR,Tea,Earl Grey,Regular
1/1/10,200,West,OR,Tea,Green Tea,Regular
1/1/10,150,West,OR,Coffee,Amaretto,Regular
1/1/10,160,West,OR,Coffee,Columbian,Regular
1/1/10,110,West,WA,Espresso,Caffe Latte,Regular
1/1/10,120,West,WA,Espresso,Caffe Mocha,Regular
1/1/10,150,West,WA,Espresso,Decaf Espresso,Decaf
1/1/10,190,West,WA,Coffee,Decaf Irish Cream,Decaf
1/1/10,310,West,WA,Herbal Tea,Chamomile,Decaf
1/1/10,85,West,WA,Herbal Tea,Lemon,Decaf
1/1/10,180,West,WA,Tea,Darjeeling,Regular
1/1/10,150,West,WA,Tea,Earl Grey,Regular
1/1/10,180,West,WA,Tea,Green Tea,Regular
1/1/10,130,West,WA,Coffee,Columbian,Regular
2/1/10,243,Central,CO,Coffee,Amaretto,Regular
2/1/10,190,Central,CO,Coffee,Columbian,Regular
2/1/10,232,Central,CO,Coffee,Decaf Irish Cream,Decaf
2/1/10,100,Central,CO,Tea,Green Tea,Regular
2/1/10,189,Central,CO,Espresso,Caffe Mocha,Regular
2/1/10,189,Central,CO,Espresso,Decaf Espresso,Decaf
2/1/10,340,Central,CO,Herbal Tea,Chamomile,Decaf
2/1/10,129,Central,CO,Herbal Tea,Lemon,Decaf
2/1/10,140,Central,CO,Herbal Tea,Mint,Decaf
2/1/10,132,Central,CO,Tea,Darjeeling,Regular
2/1/10,136,Central,CO,Tea,Earl Grey,Regular
2/1/10,354,Central,IL,Coffee,Columbian,Regular
2/1/10,254,Central,IL,Coffee,Decaf Irish Cream,Decaf
2/1/10,545,Central,IL,Espresso,Caffe Mocha,Regular
2/1/10,457,Central,IL,Espresso,Decaf Espresso,Decaf
2/1/10,243,Central,IL,Herbal Tea,Chamomile,Decaf
2/1/10,190,Central,IL,Herbal Tea,Lemon,Decaf
2/1/10,232,Central,IL,Herbal Tea,Mint,Decaf
2/1/10,189,Central,IL,Tea,Darjeeling,Regular
2/1/10,189,Central,IL,Tea,Earl Grey,Regular
2/1/10,45,Central,IA,Coffee,Amaretto,Regular
2/1/10,63,Central,IA,Coffee,Columbian,Regular
2/1/10,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
2/1/10,47,Central,IA,Espresso,Caffe Mocha,Regular
2/1/10,43,Central,IA,Espresso,Decaf Espresso,Decaf
2/1/10,545,Central,IA,Herbal Tea,Chamomile,Decaf
2/1/10,254,Central,IA,Herbal Tea,Lemon,Decaf
2/1/10,457,Central,IA,Tea,Darjeeling,Regular
2/1/10,534,Central,IA,Tea,Earl Grey,Regular
2/1/10,193,Central,MO,Coffee,Columbian,Regular
2/1/10,165,Central,MO,Coffee,Decaf Irish Cream,Decaf
2/1/10,74,Central,MO,Tea,Green Tea,Regular
2/1/10,123,Central,MO,Espresso,Caffe Mocha,Regular
2/1/10,103,Central,MO,Espresso,Decaf Espresso,Decaf
2/1/10,104,Central,MO,Herbal Tea,Chamomile,Decaf
2/1/10,102,Central,MO,Herbal Tea,Lemon,Decaf
2/1/10,82,Central,MO,Tea,Darjeeling,Regular
2/1/10,68,Central,MO,Tea,Earl Grey,Regular
2/1/10,140,Central,OH,Coffee,Amaretto,Regular
2/1/10,128,Central,OH,Coffee,Columbian,Regular
2/1/10,129,Central,OH,Coffee,Decaf Irish Cream,Decaf
2/1/10,200,Central,OH,Tea,Darjeeling,Regular
2/1/10,206,Central,OH,Tea,Earl Grey,Regular
2/1/10,132,Central,OH,Espresso,Decaf Espresso,Decaf
2/1/10,340,Central,OH,Espresso,Caffe Mocha,Regular
2/1/10,56,Central,OH,Herbal Tea,Chamomile,Decaf
2/1/10,80,Central,OH,Herbal Tea,Lemon,Decaf
2/1/10,118,Central,WI,Coffee,Amaretto,Regular
2/1/10,220,Central,WI,Coffee,Columbian,Regular
2/1/10,180,Central,WI,Coffee,Decaf Irish Cream,Decaf
2/1/10,137,Central,WI,Tea,Darjeeling,Regular
2/1/10,155,Central,WI,Tea,Earl Grey,Regular
2/1/10,110,Central,WI,Espresso,Decaf Espresso,Decaf
2/1/10,154,Central,WI,Espresso,Caffe Mocha,Regular
2/1/10,174,Central,WI,Herbal Tea,Chamomile,Decaf
2/1/10,115,Central,WI,Herbal Tea,Lemon,Decaf
2/1/10,123,East,CT,Tea,Darjeeling,Regular
2/1/10,66,East,CT,Tea,Green Tea,Regular
2/1/10,130,East,CT,Espresso,Decaf Espresso,Decaf
2/1/10,155,East,CT,Espresso,Caffe Mocha,Regular
2/1/10,325,East,CT,Coffee,Columbian,Regular
2/1/10,193,East,CT,Herbal Tea,Lemon,Decaf
2/1/10,165,East,CT,Herbal Tea,Mint,Decaf
2/1/10,80,East,FL,Tea,Darjeeling,Regular
2/1/10,115,East,FL,Tea,Green Tea,Regular
2/1/10,180,East,FL,Espresso,Decaf Espresso,Decaf
2/1/10,220,East,FL,Espresso,Caffe Mocha,Regular
2/1/10,206,East,FL,Coffee,Decaf Irish Cream,Decaf
2/1/10,200,East,FL,Coffee,Columbian,Regular
2/1/10,110,East,FL,Herbal Tea,Chamomile,Decaf
2/1/10,118,East,FL,Herbal Tea,Lemon,Decaf
2/1/10,154,East,FL,Herbal Tea,Mint,Decaf
2/1/10,80,East,MA,Tea,Darjeeling,Regular
2/1/10,56,East,MA,Tea,Green Tea,Regular
2/1/10,340,East,MA,Espresso,Regular Espresso,Regular
2/1/10,128,East,MA,Espresso,Caffe Mocha,Regular
2/1/10,470,East,MA,Coffee,Columbian,Regular
2/1/10,132,East,MA,Herbal Tea,Lemon,Decaf
2/1/10,45,East,NH,Tea,Darjeeling,Regular
2/1/10,43,East,NH,Tea,Green Tea,Regular
2/1/10,68,East,NH,Espresso,Regular Espresso,Regular
2/1/10,104,East,NH,Espresso,Caffe Mocha,Regular
2/1/10,101,East,NH,Coffee,Amaretto,Regular
2/1/10,114,East,NH,Coffee,Columbian,Regular
2/1/10,74,East,NH,Herbal Tea,Lemon,Decaf
2/1/10,232,East,NY,Tea,Darjeeling,Regular
2/1/10,243,East,NY,Tea,Earl Grey,Regular
2/1/10,189,East,NY,Tea,Green Tea,Regular
2/1/10,580,East,NY,Espresso,Regular Espresso,Regular
2/1/10,61,East,NY,Espresso,Caffe Mocha,Regular
2/1/10,645,East,NY,Coffee,Columbian,Regular
2/1/10,495,East,NY,Herbal Tea,Lemon,Decaf
2/1/10,180,East,NY,Herbal Tea,Mint,Decaf
2/1/10,174,South,LA,Espresso,Caffe Mocha,Regular
2/1/10,137,South,LA,Espresso,Decaf Espresso,Decaf
2/1/10,112,South,LA,Herbal Tea,Chamomile,Decaf
2/1/10,193,South,LA,Herbal Tea,Lemon,Decaf
2/1/10,155,South,LA,Espresso,Caffe Latte,Regular
2/1/10,94,South,LA,Coffee,Columbian,Regular
2/1/10,115,South,LA,Coffee,Decaf Irish Cream,Decaf
2/1/10,104,South,NM,Espresso,Caffe Mocha,Regular
2/1/10,82,South,NM,Espresso,Decaf Espresso,Decaf
2/1/10,45,South,NM,Herbal Tea,Chamomile,Decaf
2/1/10,63,South,NM,Herbal Tea,Lemon,Decaf
2/1/10,68,South,NM,Espresso,Caffe Latte,Regular
2/1/10,114,South,NM,Coffee,Columbian,Regular
2/1/10,102,South,NM,Coffee,Decaf Irish Cream,Decaf
2/1/10,206,South,OK,Espresso,Caffe Latte,Regular
2/1/10,56,South,OK,Espresso,Caffe Mocha,Regular
2/1/10,200,South,OK,Espresso,Decaf Espresso,Decaf
2/1/10,118,South,OK,Herbal Tea,Chamomile,Decaf
2/1/10,220,South,OK,Herbal Tea,Lemon,Decaf
2/1/10,100,South,OK,Coffee,Columbian,Regular
2/1/10,80,South,OK,Coffee,Decaf Irish Cream,Decaf
2/1/10,189,South,TX,Espresso,Caffe Latte,Regular
2/1/10,243,South,TX,Espresso,Caffe Mocha,Regular
2/1/10,189,South,TX,Espresso,Decaf Espresso,Decaf
2/1/10,140,South,TX,Herbal Tea,Chamomile,Decaf
2/1/10,128,South,TX,Herbal Tea,Lemon,Decaf
2/1/10,465,South,TX,Coffee,Columbian,Regular
2/1/10,190,South,TX,Coffee,Decaf Irish Cream,Decaf
2/1/10,103,West,UT,Espresso,Caffe Latte,Regular
2/1/10,112,West,UT,Espresso,Caffe Mocha,Regular
2/1/10,123,West,UT,Espresso,Decaf Espresso,Decaf
2/1/10,101,West,UT,Herbal Tea,Chamomile,Decaf
2/1/10,114,West,UT,Herbal Tea,Lemon,Decaf
2/1/10,102,West,UT,Herbal Tea,Mint,Decaf
2/1/10,104,West,UT,Tea,Darjeeling,Regular
2/1/10,82,West,UT,Tea,Earl Grey,Regular
2/1/10,68,West,UT,Tea,Green Tea,Regular
2/1/10,165,West,UT,Coffee,Amaretto,Regular
2/1/10,130,West,UT,Coffee,Columbian,Regular
2/1/10,193,West,UT,Coffee,Decaf Irish Cream,Decaf
2/1/10,457,West,CA,Espresso,Caffe Latte,Regular
2/1/10,290,West,CA,Espresso,Caffe Mocha,Regular
2/1/10,545,West,CA,Espresso,Decaf Espresso,Decaf
2/1/10,232,West,CA,Herbal Tea,Chamomile,Decaf
2/1/10,465,West,CA,Herbal Tea,Lemon,Decaf
2/1/10,190,West,CA,Herbal Tea,Mint,Decaf
2/1/10,243,West,CA,Tea,Darjeeling,Regular
2/1/10,189,West,CA,Tea,Earl Grey,Regular
2/1/10,189,West,CA,Tea,Green Tea,Regular
2/1/10,132,West,CA,Coffee,Amaretto,Regular
2/1/10,645,West,CA,Coffee,Columbian,Regular
2/1/10,122,West,CA,Coffee,Decaf Irish Cream,Decaf
2/1/10,43,West,NV,Espresso,Caffe Latte,Regular
2/1/10,45,West,NV,Espresso,Caffe Mocha,Regular
2/1/10,47,West,NV,Espresso,Decaf Espresso,Decaf
2/1/10,63,West,NV,Coffee,Decaf Irish Cream,Decaf
2/1/10,290,West,NV,Herbal Tea,Chamomile,Decaf
2/1/10,354,West,NV,Herbal Tea,Lemon,Decaf
2/1/10,254,West,NV,Herbal Tea,Mint,Decaf
2/1/10,545,West,NV,Tea,Darjeeling,Regular
2/1/10,457,West,NV,Tea,Earl Grey,Regular
2/1/10,23,West,NV,Tea,Green Tea,Regular
2/1/10,74,West,NV,Coffee,Columbian,Regular
2/1/10,132,West,OR,Espresso,Caffe Latte,Regular
2/1/10,140,West,OR,Espresso,Caffe Mocha,Regular
2/1/10,340,West,OR,Espresso,Decaf Espresso,Decaf
2/1/10,128,West,OR,Coffee,Decaf Irish Cream,Decaf
2/1/10,81,West,OR,Herbal Tea,Chamomile,Decaf
2/1/10,100,West,OR,Herbal Tea,Lemon,Decaf
2/1/10,56,West,OR,Tea,Darjeeling,Regular
2/1/10,200,West,OR,Tea,Earl Grey,Regular
2/1/10,206,West,OR,Tea,Green Tea,Regular
2/1/10,129,West,OR,Coffee,Amaretto,Regular
2/1/10,155,West,OR,Coffee,Columbian,Regular
2/1/10,110,West,WA,Espresso,Caffe Latte,Regular
2/1/10,118,West,WA,Espresso,Caffe Mocha,Regular
2/1/10,154,West,WA,Espresso,Decaf Espresso,Decaf
2/1/10,220,West,WA,Coffee,Decaf Irish Cream,Decaf
2/1/10,325,West,WA,Herbal Tea,Chamomile,Decaf
2/1/10,94,West,WA,Herbal Tea,Lemon,Decaf
2/1/10,174,West,WA,Tea,Darjeeling,Regular
2/1/10,137,West,WA,Tea,Earl Grey,Regular
2/1/10,155,West,WA,Tea,Green Tea,Regular
2/1/10,142,West,WA,Coffee,Columbian,Regular
3/1/10,213,Central,CO,Coffee,Amaretto,Regular
3/1/10,193,Central,CO,Coffee,Columbian,Regular
3/1/10,234,Central,CO,Coffee,Decaf Irish Cream,Decaf
3/1/10,98,Central,CO,Tea,Green Tea,Regular
3/1/10,198,Central,CO,Espresso,Caffe Mocha,Regular
3/1/10,180,Central,CO,Espresso,Decaf Espresso,Decaf
3/1/10,325,Central,CO,Herbal Tea,Chamomile,Decaf
3/1/10,125,Central,CO,Herbal Tea,Lemon,Decaf
3/1/10,134,Central,CO,Herbal Tea,Mint,Decaf
3/1/10,129,Central,CO,Tea,Darjeeling,Regular
3/1/10,135,Central,CO,Tea,Earl Grey,Regular
3/1/10,367,Central,IL,Coffee,Columbian,Regular
3/1/10,267,Central,IL,Coffee,Decaf Irish Cream,Decaf
3/1/10,567,Central,IL,Espresso,Caffe Mocha,Regular
3/1/10,478,Central,IL,Espresso,Decaf Espresso,Decaf
3/1/10,213,Central,IL,Herbal Tea,Chamomile,Decaf
3/1/10,193,Central,IL,Herbal Tea,Lemon,Decaf
3/1/10,234,Central,IL,Herbal Tea,Mint,Decaf
3/1/10,198,Central,IL,Tea,Darjeeling,Regular
3/1/10,180,Central,IL,Tea,Earl Grey,Regular
3/1/10,45,Central,IA,Coffee,Amaretto,Regular
3/1/10,63,Central,IA,Coffee,Columbian,Regular
3/1/10,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
3/1/10,41,Central,IA,Espresso,Caffe Mocha,Regular
3/1/10,43,Central,IA,Espresso,Decaf Espresso,Decaf
3/1/10,567,Central,IA,Herbal Tea,Chamomile,Decaf
3/1/10,267,Central,IA,Herbal Tea,Lemon,Decaf
3/1/10,478,Central,IA,Tea,Darjeeling,Regular
3/1/10,546,Central,IA,Tea,Earl Grey,Regular
3/1/10,189,Central,MO,Coffee,Columbian,Regular
3/1/10,163,Central,MO,Coffee,Decaf Irish Cream,Decaf
3/1/10,75,Central,MO,Tea,Green Tea,Regular
3/1/10,121,Central,MO,Espresso,Caffe Mocha,Regular
3/1/10,118,Central,MO,Espresso,Decaf Espresso,Decaf
3/1/10,107,Central,MO,Herbal Tea,Chamomile,Decaf
3/1/10,106,Central,MO,Herbal Tea,Lemon,Decaf
3/1/10,85,Central,MO,Tea,Darjeeling,Regular
3/1/10,75,Central,MO,Tea,Earl Grey,Regular
3/1/10,134,Central,OH,Coffee,Amaretto,Regular
3/1/10,121,Central,OH,Coffee,Columbian,Regular
3/1/10,125,Central,OH,Coffee,Decaf Irish Cream,Decaf
3/1/10,210,Central,OH,Tea,Darjeeling,Regular
3/1/10,214,Central,OH,Tea,Earl Grey,Regular
3/1/10,129,Central,OH,Espresso,Decaf Espresso,Decaf
3/1/10,325,Central,OH,Espresso,Caffe Mocha,Regular
3/1/10,53,Central,OH,Herbal Tea,Chamomile,Decaf
3/1/10,79,Central,OH,Herbal Tea,Lemon,Decaf
3/1/10,120,Central,WI,Coffee,Amaretto,Regular
3/1/10,227,Central,WI,Coffee,Columbian,Regular
3/1/10,188,Central,WI,Coffee,Decaf Irish Cream,Decaf
3/1/10,129,Central,WI,Tea,Darjeeling,Regular
3/1/10,150,Central,WI,Tea,Earl Grey,Regular
3/1/10,112,Central,WI,Espresso,Decaf Espresso,Decaf
3/1/10,155,Central,WI,Espresso,Caffe Mocha,Regular
3/1/10,167,Central,WI,Herbal Tea,Chamomile,Decaf
3/1/10,121,Central,WI,Herbal Tea,Lemon,Decaf
3/1/10,121,East,CT,Tea,Darjeeling,Regular
3/1/10,62,East,CT,Tea,Green Tea,Regular
3/1/10,124,East,CT,Espresso,Decaf Espresso,Decaf
3/1/10,150,East,CT,Espresso,Caffe Mocha,Regular
3/1/10,309,East,CT,Coffee,Columbian,Regular
3/1/10,189,East,CT,Herbal Tea,Lemon,Decaf
3/1/10,163,East,CT,Herbal Tea,Mint,Decaf
3/1/10,81,East,FL,Tea,Darjeeling,Regular
3/1/10,121,East,FL,Tea,Green Tea,Regular
3/1/10,188,East,FL,Espresso,Decaf Espresso,Decaf
3/1/10,227,East,FL,Espresso,Caffe Mocha,Regular
3/1/10,214,East,FL,Coffee,Decaf Irish Cream,Decaf
3/1/10,210,East,FL,Coffee,Columbian,Regular
3/1/10,112,East,FL,Herbal Tea,Chamomile,Decaf
3/1/10,120,East,FL,Herbal Tea,Lemon,Decaf
3/1/10,155,East,FL,Herbal Tea,Mint,Decaf
3/1/10,79,East,MA,Tea,Darjeeling,Regular
3/1/10,53,East,MA,Tea,Green Tea,Regular
3/1/10,325,East,MA,Espresso,Regular Espresso,Regular
3/1/10,125,East,MA,Espresso,Caffe Mocha,Regular
3/1/10,492,East,MA,Coffee,Columbian,Regular
3/1/10,129,East,MA,Herbal Tea,Lemon,Decaf
3/1/10,45,East,NH,Tea,Darjeeling,Regular
3/1/10,43,East,NH,Tea,Green Tea,Regular
3/1/10,75,East,NH,Espresso,Regular Espresso,Regular
3/1/10,107,East,NH,Espresso,Caffe Mocha,Regular
3/1/10,107,East,NH,Coffee,Amaretto,Regular
3/1/10,119,East,NH,Coffee,Columbian,Regular
3/1/10,75,East,NH,Herbal Tea,Lemon,Decaf
3/1/10,234,East,NY,Tea,Darjeeling,Regular
3/1/10,213,East,NY,Tea,Earl Grey,Regular
3/1/10,198,East,NY,Tea,Green Tea,Regular
3/1/10,63,East,NY,Espresso,Caffe Mocha,Regular
3/1/10,523,East,NY,Espresso,Regular Espresso,Regular
3/1/10,675,East,NY,Coffee,Columbian,Regular
3/1/10,513,East,NY,Herbal Tea,Lemon,Decaf
3/1/10,182,East,NY,Herbal Tea,Mint,Decaf
3/1/10,150,South,LA,Espresso,Caffe Latte,Regular
3/1/10,167,South,LA,Espresso,Caffe Mocha,Regular
3/1/10,129,South,LA,Espresso,Decaf Espresso,Decaf
3/1/10,110,South,LA,Herbal Tea,Chamomile,Decaf
3/1/10,189,South,LA,Herbal Tea,Lemon,Decaf
3/1/10,121,South,LA,Coffee,Decaf Irish Cream,Decaf
3/1/10,82,South,LA,Coffee,Columbian,Regular
3/1/10,75,South,NM,Espresso,Caffe Latte,Regular
3/1/10,107,South,NM,Espresso,Caffe Mocha,Regular
3/1/10,85,South,NM,Espresso,Decaf Espresso,Decaf
3/1/10,45,South,NM,Herbal Tea,Chamomile,Decaf
3/1/10,63,South,NM,Herbal Tea,Lemon,Decaf
